scope,window.type,window.startYear,window.endYear,window.mode,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,spencerbot15,Spencerbot15,spencerbot15,Spencerbot15,,1509.055,7,4,3,0.571429,2025-04-06,9.055,1
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,pr_oboszcz,PR_Oboszcz,pr_oboszcz,PR_Oboszcz,,1509.05,1,1,0,1,2026-04-05,9.05,1
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,archits05,archits05,archits05,archits05,,1509.036,6,3,3,0.5,2024-08-24,9.036,1
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,chambales,Chambales,chambales,Chambales,,1509.022,12,6,6,0.5,2026-05-03,9.022,2
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,thiagoguerra,ThiagoGuerra,thiagoguerra,ThiagoGuerra,,1508.916,84,41,43,0.488095,2026-05-01,8.916,13
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,__abijhavs_,__Abijhavs_,__abijhavs_,__Abijhavs_,,1508.896,1,1,0,1,2026-03-28,8.896,1
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,makka,makka,makka,makka,,1508.858,18,9,9,0.5,2026-01-23,8.858,3
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,redarmada,RedArmada,redarmada,RedArmada,,1508.761,7,4,3,0.571429,2024-11-17,8.761,1
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,spartano,spartano,spartano,spartano,,1508.76,58,27,31,0.465517,2025-08-02,8.76,9
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,hellkito,hellkito,hellkito,hellkito,,1508.672,35,17,18,0.485714,2024-09-14,8.672,7
