event_id,source_event_name,display_name,series,source_system,event_type,date,year,month,total_players
online-challenge-2026-02-06,MTGO Challenge (2026-02-06),Challenge,Challenge,mtgo,online,2026-02-06,2026,2,46
online-challenge-2026-02-05,MTGO Challenge (2026-02-05),Challenge,Challenge,mtgo,online,2026-02-05,2026,2,51
online-challenge-2026-02-01,MTGO Challenge (2026-02-01),Challenge,Challenge,mtgo,online,2026-02-01,2026,2,59
online-challenge-2026-01-30,MTGO Challenge (2026-01-30),Challenge,Challenge,mtgo,online,2026-01-30,2026,1,57
online-challenge-2026-01-29,MTGO Challenge (2026-01-29),Challenge,Challenge,mtgo,online,2026-01-29,2026,1,49
online-challenge-2026-01-25,MTGO Challenge (2026-01-25),Challenge,Challenge,mtgo,online,2026-01-25,2026,1,71
online-challenge-2026-01-24,MTGO Challenge (2026-01-24),Challenge,Challenge,mtgo,online,2026-01-24,2026,1,46
online-challenge-2026-01-23,MTGO Challenge (2026-01-23),Challenge,Challenge,mtgo,online,2026-01-23,2026,1,57
online-challenge-2026-01-22,MTGO Challenge (2026-01-22),Challenge,Challenge,mtgo,online,2026-01-22,2026,1,46
online-challenge-2026-01-18,MTGO Challenge (2026-01-18),Challenge,Challenge,mtgo,online,2026-01-18,2026,1,71
online-challenge-2026-01-17,MTGO Challenge (2026-01-17),Challenge,Challenge,mtgo,online,2026-01-17,2026,1,50
online-challenge-2026-01-16,MTGO Challenge (2026-01-16),Challenge,Challenge,mtgo,online,2026-01-16,2026,1,64
online-challenge-2026-01-15,MTGO Challenge (2026-01-15),Challenge,Challenge,mtgo,online,2026-01-15,2026,1,61
online-challenge-2026-01-11,MTGO Challenge (2026-01-11),Challenge,Challenge,mtgo,online,2026-01-11,2026,1,63
online-challenge-2026-01-10,MTGO Challenge (2026-01-10),Challenge,Challenge,mtgo,online,2026-01-10,2026,1,57
online-challenge-2026-01-09,MTGO Challenge (2026-01-09),Challenge,Challenge,mtgo,online,2026-01-09,2026,1,61
online-challenge-2026-01-08,MTGO Challenge (2026-01-08),Challenge,Challenge,mtgo,online,2026-01-08,2026,1,56
online-challenge-2026-01-04,MTGO Challenge (2026-01-04),Challenge,Challenge,mtgo,online,2026-01-04,2026,1,79
online-challenge-2026-01-03,MTGO Challenge (2026-01-03),Challenge,Challenge,mtgo,online,2026-01-03,2026,1,63
online-challenge-2026-01-02,MTGO Challenge (2026-01-02),Challenge,Challenge,mtgo,online,2026-01-02,2026,1,57
online-challenge-2026-01-01,MTGO Challenge (2026-01-01),Challenge,Challenge,mtgo,online,2026-01-01,2026,1,72
online-challenge-2025-12-28,MTGO Challenge (2025-12-28),Challenge,Challenge,mtgo,online,2025-12-28,2025,12,47
online-super-2025-12-28,MTGO Super (2025-12-28),Super,Super,mtgo,online,2025-12-28,2025,12,235
online-challenge-2025-12-27,MTGO Challenge (2025-12-27),Challenge,Challenge,mtgo,online,2025-12-27,2025,12,43
online-challenge-2025-12-26,MTGO Challenge (2025-12-26),Challenge,Challenge,mtgo,online,2025-12-26,2025,12,54
online-challenge-2025-12-25,MTGO Challenge (2025-12-25),Challenge,Challenge,mtgo,online,2025-12-25,2025,12,62
online-challenge-2025-12-21,MTGO Challenge (2025-12-21),Challenge,Challenge,mtgo,online,2025-12-21,2025,12,62
online-challenge-2025-12-19,MTGO Challenge (2025-12-19),Challenge,Challenge,mtgo,online,2025-12-19,2025,12,51
